ID,Method,b,confMin,confMax,stdErr,site_id,year_month,mat_site,sdat_site
97,MLE,-1.367713795417085,-1.374103795417085,-1.361383795417085,0.0032448979591836336,MAYF,2018_3,16.298517373589917,0.9041125105206427
98,MLE,-1.3731599342700622,-1.3800699342700622,-1.366329934270062,0.003505102040816348,MAYF,2018_7,16.298517373589917,0.9041125105206427
96,MLE,-1.3560846586342898,-1.3596146586342899,-1.35257465863429,0.0017959183673469223,MAYF,2018_10,16.298517373589917,0.9041125105206427
100,MLE,-1.3065858511673012,-1.311985851167301,-1.3012358511673012,0.0027423469387754633,MAYF,2019_3,16.298517373589917,0.9041125105206427
101,MLE,-1.4429021314932142,-1.4517921314932143,-1.4341221314932142,0.0045076530612245085,MAYF,2019_7,16.298517373589917,0.9041125105206427
99,MLE,-1.4007031187831218,-1.4051831187831219,-1.3962531187831217,0.0022780612244898226,MAYF,2019_11,16.298517373589917,0.9041125105206427
102,MLE,-1.3530681958170196,-1.3586581958170196,-1.3475181958170195,0.002841836734693916,MAYF,2021_3,16.298517373589917,0.9041125105206427
104,MLE,-1.342990236313416,-1.345660236313416,-1.3403302363134162,0.0013596938775509784,MCDI,2017_3,12.600419860369056,1.0134811797910754
105,MLE,-1.1981118499399905,-1.2039018499399905,-1.1923518499399905,0.0029464285714285586,MCDI,2017_7,12.600419860369056,1.0134811797910754
103,MLE,-1.4045601456507621,-1.406790145650762,-1.4023301456507622,0.001137755102040793,MCDI,2017_10,12.600419860369056,1.0134811797910754
107,MLE,-1.3129318969821497,-1.3183818969821497,-1.3075218969821498,0.002770408163265273,MCDI,2018_3,12.600419860369056,1.0134811797910754
108,MLE,-1.224073385393584,-1.226313385393584,-1.221843385393584,0.001140306122448973,MCDI,2018_7,12.600419860369056,1.0134811797910754
106,MLE,-1.273688841997673,-1.274908841997673,-1.272468841997673,6.224489795918362e-4,MCDI,2018_10,12.600419860369056,1.0134811797910754
110,MLE,-1.3227921435088492,-1.3254821435088493,-1.3201121435088492,0.0013698979591836983,MCDI,2019_4,12.600419860369056,1.0134811797910754
111,MLE,-1.302655972182225,-1.304265972182225,-1.3010459721822252,8.21428571428515e-4,MCDI,2019_7,12.600419860369056,1.0134811797910754
109,MLE,-1.2574045477000186,-1.2600545477000187,-1.2547645477000184,0.0013494897959184283,MCDI,2019_10,12.600419860369056,1.0134811797910754
112,MLE,-1.382520349355412,-1.384220349355412,-1.3808203493554119,8.67346938775528e-4,MCDI,2020_9,12.600419860369056,1.0134811797910754
