sitio_area_ID,subsample_ID,Lat,Long
POSE_2017-07-17,NA,38.89332,-78.14678
POSE_2017-10-23,NA,38.89332,-78.14678
POSE_2018-03-16,NA,38.89332,-78.14678
POSE_2018-07-16,NA,38.89332,-78.14678
POSE_2018-11-05,NA,38.89332,-78.14678
POSE_2019-03-26,NA,38.89332,-78.14678
POSE_2019-07-15,NA,38.89332,-78.14678
POSE_2019-11-04,NA,38.89332,-78.14678
POSE_2020-07-07,NA,38.89332,-78.14678
POSE_2020-11-03,NA,38.89332,-78.14678
POSE_2020-11-03,NA,38.89332,-78.14678
POSE_2021-03-18,NA,38.89332,-78.14678
POSE_2021-03-18,NA,38.89332,-78.14678
POSE_2021-10-18,NA,38.89332,-78.14678
PRIN_2016-07-28,NA,33.37859,-97.78226
PRIN_2016-07-28,NA,33.37859,-97.78226
PRIN_2016-10-25,NA,33.37859,-97.78226
PRIN_2016-10-25,NA,33.37859,-97.78226
PRIN_2017-02-20,NA,33.37859,-97.78226
PRIN_2017-02-20,NA,33.37859,-97.78226
PRIN_2017-07-03,NA,33.37859,-97.78226
PRIN_2017-07-03,NA,33.37859,-97.78226
PRIN_2017-10-23,NA,33.37859,-97.78226
PRIN_2017-10-23,NA,33.37859,-97.78226
PRIN_2018-02-19,NA,33.37859,-97.78226
PRIN_2018-02-19,NA,33.37859,-97.78226
PRIN_2018-10-30,NA,33.37859,-97.78226
PRIN_2019-02-19,NA,33.37859,-97.78226
PRIN_2019-07-02,NA,33.37859,-97.78226
PRIN_2019-07-02,NA,33.37859,-97.78226
PRIN_2020-02-25,NA,33.37859,-97.78226
PRIN_2020-02-25,NA,33.37859,-97.78226
PRIN_2020-11-05,NA,33.37859,-97.78226
PRIN_2021-03-04,NA,33.37859,-97.78226
PRIN_2021-03-04,NA,33.37859,-97.78226
PRIN_2021-06-28,NA,33.37859,-97.78226
PRIN_2021-06-28,NA,33.37859,-97.78226
PRIN_2021-10-25,NA,33.37859,-97.78226
PRIN_2021-10-25,NA,33.37859,-97.78226
REDB_2018-07-10,NA,40.78374,-111.79765
SYCA_2019-04-18,NA,33.74906,-111.5069
SYCA_2019-04-18,NA,33.74906,-111.5069
SYCA_2019-06-12,NA,33.74906,-111.5069
SYCA_2019-06-12,NA,33.74906,-111.5069
SYCA_2021-08-26,NA,33.74906,-111.5069
TECR_2021-05-11,NA,36.95528,-119.02699
WALK_2017-03-07,NA,35.95947,-84.28041
WALK_2017-07-10,NA,35.95947,-84.28041
WALK_2017-10-16,NA,35.95947,-84.28041
WALK_2018-03-13,NA,35.95947,-84.28041
WALK_2019-07-02,NA,35.95947,-84.28041
WALK_2016-03-10,NA,35.95947,-84.28041
WLOU_2018-05-17,NA,39.89137,-105.9154
CARI_2021-08-26,NA,65.15306,-147.50246
KING_2017-10-05,NA,39.10506,-96.60336
LEWI_2017-11-06,NA,39.09564,-77.98322
LEWI_2019-10-21,NA,39.09564,-77.98322
LEWI_2020-10-19,NA,39.09564,-77.98322
MCDI_2019-07-10,NA,38.94428,-96.44197
POSE_2017-10-23,NA,38.89332,-78.14678
POSE_2020-07-07,NA,38.89332,-78.14678
POSE_2021-07-20,NA,38.89332,-78.14678
PRIN_2019-10-22,NA,33.37859,-97.78226
SYCA_2019-02-07,NA,33.74906,-111.5069
SYCA_2021-08-26,NA,33.74906,-111.5069
ARIK_2018-03-20,NA,39.75825,-102.4471
ARIK_2019-03-27,NA,39.75825,-102.4471
ARIK_2016-09-19,NA,39.75825,-102.4471
ARIK_2017-10-10,NA,39.75825,-102.4471
ARIK_2019-07-10,NA,39.75825,-102.4471
LEWI_2020-07-20,NA,39.09564,-77.98322
PRIN_2020-11-05,NA,33.37859,-97.78226
SYCA_2017-07-03,NA,33.74906,-111.5069
SYCA_2019-02-07,NA,33.74906,-111.5069
BIGC_2021-07-12,NA,37.058,-119.256
BLDE_2018-07-18,NA,44.95011,-110.58715
