site,siteID,date,sampling_year,sampling_month
REDB_2017-10-04,REDB,2017-10-04,2017,10
WLOU_2017-05-30,WLOU,2017-05-30,2017,5
CUPE_2021-06-28,CUPE,2021-06-28,2021,6
KING_2018-10-15,KING,2018-10-15,2018,10
LECO_2018-10-16,LECO,2018-10-16,2018,10
MCRA_2018-04-30,MCRA,2018-04-30,2018,4
MCRA_2021-10-13,MCRA,2021-10-13,2021,10
REDB_2017-07-12,REDB,2017-07-12,2017,7
COMO_2015-09-10,COMO,2015-09-10,2015,9
CUPE_2018-11-07,CUPE,2018-11-07,2018,11
GUIL_2019-06-24,GUIL,2019-06-24,2019,6
KING_2017-03-27,KING,2017-03-27,2017,3
KING_2019-03-29,KING,2019-03-29,2019,3
LEWI_2016-10-24,LEWI,2016-10-24,2016,10
LEWI_2018-10-22,LEWI,2018-10-22,2018,10
MART_2019-04-24,MART,2019-04-24,2019,4
MAYF_2017-07-20,MAYF,2017-07-20,2017,7
MCRA_2018-09-24,MCRA,2018-09-24,2018,9
MCRA_2021-04-14,MCRA,2021-04-14,2021,4
MCRA_2022-05-23,MCRA,2022-05-23,2022,5
SYCA_2020-09-30,SYCA,2020-09-30,2020,9
WLOU_2021-07-20,WLOU,2021-07-20,2021,7
CUPE_2015-11-18,CUPE,2015-11-18,2015,11
GUIL_2020-07-13,GUIL,2020-07-13,2020,7
KING_2015-10-02,KING,2015-10-02,2015,10
KING_2021-03-30,KING,2021-03-30,2021,3
KING_2018-03-26,KING,2018-03-26,2018,3
